Time,Emotion
2025-04-13 16:27:42,neutral
2025-04-13 16:27:42,neutral
2025-04-13 16:27:42,neutral
2025-04-13 16:27:42,fear
2025-04-13 16:27:42,fear
2025-04-13 16:27:42,sad
2025-04-13 16:27:43,neutral
2025-04-13 16:27:43,sad
2025-04-13 16:27:43,sad
2025-04-13 16:27:44,sad
2025-04-13 16:27:44,angry
2025-04-13 16:27:44,sad
2025-04-13 16:27:44,sad
2025-04-13 16:27:44,sad
2025-04-13 16:27:45,sad
2025-04-13 16:27:45,sad
2025-04-13 16:27:45,sad
2025-04-13 16:27:45,sad
2025-04-13 16:27:46,sad
2025-04-13 16:27:46,neutral
2025-04-13 16:27:46,sad
2025-04-13 16:27:47,sad
2025-04-13 16:27:47,neutral
2025-04-13 16:27:47,sad
2025-04-13 16:27:47,sad
2025-04-13 16:27:47,sad
2025-04-13 16:27:48,sad
2025-04-13 16:27:48,sad
2025-04-13 16:27:48,sad
2025-04-13 16:27:48,sad
2025-04-13 16:27:48,sad
2025-04-13 16:27:48,sad
2025-04-13 16:27:48,sad
2025-04-13 16:27:48,sad
2025-04-13 16:27:49,sad
2025-04-13 16:27:49,sad
2025-04-13 16:27:49,sad
2025-04-13 16:27:49,sad
2025-04-13 16:27:49,sad
2025-04-13 16:27:49,sad
2025-04-13 16:27:50,sad
2025-04-13 16:27:50,sad
2025-04-13 16:27:50,sad
2025-04-13 16:27:50,sad
2025-04-13 16:27:50,sad
2025-04-13 16:27:50,sad
2025-04-13 16:27:50,sad
2025-04-13 16:27:50,sad
2025-04-13 16:27:51,sad
2025-04-13 16:27:51,sad
2025-04-13 16:27:51,sad
2025-04-13 16:27:51,sad
2025-04-13 16:27:51,sad
2025-04-13 16:27:51,sad
2025-04-13 16:27:51,sad
2025-04-13 16:27:51,sad
2025-04-13 16:27:52,sad
2025-04-13 16:27:52,sad
2025-04-13 16:27:52,sad
2025-04-13 16:27:52,sad
2025-04-13 16:27:52,sad
2025-04-13 16:27:52,sad
2025-04-13 16:27:52,sad
2025-04-13 16:27:53,sad
2025-04-13 16:27:53,sad
2025-04-13 16:27:53,sad
2025-04-13 16:27:53,sad
2025-04-13 16:27:53,sad
2025-04-13 16:27:53,sad
2025-04-13 16:27:53,sad
2025-04-13 16:27:53,sad
2025-04-13 16:27:54,sad
2025-04-13 16:27:54,sad
2025-04-13 16:27:54,sad
2025-04-13 16:27:54,sad
2025-04-13 16:27:54,sad
2025-04-13 16:27:54,sad
2025-04-13 16:27:54,sad
2025-04-13 16:27:54,sad
2025-04-13 16:27:55,sad
2025-04-13 16:27:55,sad
2025-04-13 16:27:55,sad
2025-04-13 16:27:55,sad
2025-04-13 16:27:55,sad
2025-04-13 16:27:55,sad
2025-04-13 16:27:55,sad
2025-04-13 16:27:55,sad
2025-04-13 16:27:56,sad
2025-04-13 16:27:56,sad
2025-04-13 16:27:56,sad
2025-04-13 16:27:56,sad
2025-04-13 16:27:56,sad
2025-04-13 16:27:56,sad
2025-04-13 16:27:56,sad
2025-04-13 16:27:57,sad
2025-04-13 16:27:57,sad
2025-04-13 16:27:57,sad
2025-04-13 16:27:57,sad
2025-04-13 16:32:52,neutral
2025-04-13 16:32:52,neutral
2025-04-13 16:32:53,neutral
2025-04-13 16:32:53,neutral
2025-04-13 16:32:53,neutral
2025-04-13 16:32:53,neutral
2025-04-13 16:32:53,sad
2025-04-13 16:32:54,sad
2025-04-13 16:32:54,fear
2025-04-13 16:32:54,fear
2025-04-13 16:32:54,sad
2025-04-13 16:32:54,fear
2025-04-13 16:32:54,angry
2025-04-13 16:32:54,fear
2025-04-13 16:32:54,fear
2025-04-13 16:32:55,neutral
2025-04-13 16:32:55,neutral
2025-04-13 16:32:55,neutral
2025-04-13 16:32:55,neutral
2025-04-13 16:32:55,neutral
2025-04-13 16:32:55,neutral
2025-04-13 16:32:55,sad
2025-04-13 16:32:56,sad
2025-04-13 16:32:56,fear
2025-04-13 16:32:56,fear
2025-04-13 16:32:56,sad
2025-04-13 16:32:56,fear
2025-04-13 16:32:56,neutral
2025-04-13 16:32:57,fear
2025-04-13 16:32:57,fear
2025-04-13 16:32:57,neutral
2025-04-13 16:32:57,neutral
2025-04-13 16:32:57,sad
2025-04-13 16:32:57,sad
2025-04-13 16:32:57,neutral
2025-04-13 16:32:57,sad
2025-04-13 16:32:57,sad
2025-04-13 16:32:58,fear
2025-04-13 16:32:58,neutral
2025-04-13 16:32:58,neutral
2025-04-13 16:32:58,neutral
2025-04-13 16:32:58,neutral
2025-04-13 16:32:58,neutral
2025-04-13 16:32:58,neutral
2025-04-13 16:32:59,neutral
2025-04-13 16:32:59,neutral
